Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Fairbanks
Station ID: USW00026411
Downloaded: Tue Jun 09 2026 11:51:45 GMT-0800 (Alaska Daylight Time)

"Year","Annual Maximum Temperature (degF)","Annual Maximum Temperature date","Annual Minimum Temperature (degF)","Annual Minimum Temperature date","Annual Average Temperature (degF)"
"1929","","","","",""
"1930","85","1930-06-21","-51","1930-02-10","24.2"
"1931","82","1931-06-17","-39","1931-12-18","26.3"
"1932","81","1932-07-27","-54","1932-02-21","22.3"
"1933","88","1933-07-28","-60","1933-01-28","22"
"1934","87","1934-08-05","-66","1934-01-14","25.9"
"1935","84","1935-07-08","-59","1935-12-07","23.8"
"1936","88","1936-06-17","-50","1936-02-09","25.8"
"1937","91","1937-06-19","-50","1937-02-18","27.5"
"1938","89","1938-06-27","-50","1938-02-06","27.3"
"1939","86","1939-07-20","-51","1939-02-06","25.1"
"1940","89","1940-07-17","-42","1940-01-15","30.1"
"1941","82","1941-06-22","-44","1941-12-06","27.6"
"1942","91","1942-06-24","-50","1942-12-23","27.7"
"1943","85","1943-07-06","-51","1943-02-06","27.1"
"1944","85","1944-07-11","-48","1944-01-29","27.4"
"1945","83","1945-07-10","-44","1945-02-13","25.4"
"1946","88","1946-07-12","-57","1946-12-14","24.4"
"1947","90","1947-05-28","-59","1947-01-26","26.2"
"1948","90","1948-06-18","-43","1948-12-07","23.2"
"1949","85","1949-07-10","-46","1949-12-31","26.2"
"1950","87","1950-06-18","-52","1950-02-13","25.8"
"1951","90","1951-07-16","-54","1951-01-19","25"
"1952","84","1952-07-22","-56","1952-01-20","26.2"
"1953","89","1953-07-30","-54","1953-01-26","26.9"
"1954","83","1954-06-04","-54","1954-12-26","24.6"
"1955","93","1955-07-25","-47","1955-12-11","23.4"
"1956","86","1956-07-13","-53","1956-01-05","21.3"
"1957","89","1957-06-10","-47","1957-02-11","29.5"
"1958","92","1958-06-20","-47","1958-12-31","27.6"
"1959","86","1959-06-19","-50","1959-01-07","24"
"1960","89","1960-07-14","-51","1960-01-13","27.4"
"1961","85","1961-07-26","-62","1961-12-29","23.2"
"1962","87","1962-08-01","-52","1962-01-27","27.7"
"1963","84","1963-07-11","-50","1963-01-08","26.6"
"1964","82","1964-07-16","-56","1964-12-14","22.7"
"1965","80","1965-07-30","-56","1965-01-05","23.5"
"1966","85","1966-08-08","-53","1966-12-09","22.7"
"1967","91","1967-06-18","-44","1967-01-29","27"
"1968","89","1968-07-24","-56","1968-02-05","25.6"
"1969","96","1969-06-15","-61","1969-01-02","27"
"1970","87","1970-07-27","-46","1970-12-31","27.9"
"1971","89","1971-06-24","-60","1971-01-19","23.7"
"1972","88","1972-06-14","-49","1972-01-17","24.4"
"1973","84","1973-07-25","-51","1973-01-16","27"
"1974","83","1974-08-30","-49","1974-12-29","25.2"
"1975","94","1975-07-11","-57","1975-01-06","25.9"
"1976","90","1976-08-01","-44","1976-02-09","27.7"
"1977","90","1977-07-30","-52","1977-12-13","27.8"
"1978","86","1978-07-31","-33","1978-01-07","30.2"
"1979","82","1979-07-24","-51","1979-02-07","27.3"
"1980","85","1980-08-12","-50","1980-01-13","28.7"
"1981","84","1981-08-27","-40","1981-12-29","32"
"1982","87","1982-07-07","-43","1982-01-07","26.5"
"1983","91","1983-06-25","-50","1983-01-11","28.6"
"1984","84","1984-07-01","-46","1984-02-03","27.1"
"1985","83","1985-06-03","-48","1985-02-21","27.1"
"1986","91","1986-07-05","-37","1986-11-27","28.5"
"1987","92","1987-06-22","-40","1987-01-12","30.4"
"1988","85","1988-07-14","-35","1988-12-02","29.4"
"1989","87","1989-07-08","-51","1989-01-30","27.5"
"1990","90","1990-07-04","-47","1990-12-01","26.8"
"1991","94","1991-06-21","-45","1991-01-15","28.5"
"1992","91","1992-06-29","-45","1992-12-26","25.1"
"1993","93","1993-07-15","-58","1993-02-02","31.4"
"1994","93","1994-08-05","-45","1994-12-07","27.3"
"1995","88","1995-05-11","-48","1995-01-26","28.2"
"1996","85","1996-06-18","-45","1996-01-12","24.5"
"1997","88","1997-06-30","-51","1997-01-07","28.6"
"1998","87","1998-07-05","-48","1998-01-04","28.4"
"1999","89","1999-06-13","-55","1999-02-04","23.4"
"2000","83","2000-06-24","-49","2000-01-02","28"
"2001","82","2001-07-19","-41","2001-12-19","28.4"
"2002","83","2002-08-03","-43","2002-01-26","30.4"
"2003","86","2003-07-20","-42","2003-12-02","29"
"2004","88","2004-06-20","-46","2004-01-19","28.7"
"2005","84","2005-08-13","-47","2005-01-12","28.9"
"2006","81","2006-07-10","-51","2006-01-27","25.7"
"2007","83","2007-06-29","-44","2007-02-23","27.6"
"2008","85","2008-07-04","-48","2008-02-10","25.7"
"2009","91","2009-07-08","-47","2009-01-08","27.6"
"2010","91","2010-08-15","-41","2010-12-15","28.7"
"2011","88","2011-06-25","-44","2011-02-15","27.6"
"2012","86","2012-06-23","-51","2012-01-29","24.1"
"2013","92","2013-06-26","-48","2013-01-27","28.1"
"2014","87","2014-07-06","-41","2014-01-13","30.9"
"2015","89","2015-07-06","-43","2015-02-07","30"
"2016","88","2016-07-14","-36","2016-12-04","31.6"
"2017","90","2017-06-09","-51","2017-01-18","29.5"
"2018","88","2018-07-22","-33","2018-02-01","30.5"
"2019","89","2019-06-29","-44","2019-01-12","32.5"
"2020","82","2020-05-10","-43","2020-01-08","26.9"
"2021","89","2021-08-03","-42","2021-02-22","28"
"2022","86","2022-07-01","-47","2022-01-02","29"
"Overall","96","1969-06-15","-66","1934-01-14","26.9"
